Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Population ages 15-64, female;SP.POP.1564.FE.IN;5502242;5607354;5728715;5865272;6032475;6226738;6423224;6616550;6810611;7013554;7232051;7460952;7701489;7961073;8236994;8518174;8787777;9059777;9345072;9639476;9949482;10452536;10969741;11325107;11694456;12069283;12456910;12853020;13243762;13642132;14344570;15108962;15570063;15674799;15821613;16331459;16920842;17623870;18429143;19273891;20153590;21056592;21734761;22356098;23135502;23896223;24626617;25297682;25886576;26388499;26817720;27144948;27414206;27694742;28025116;28422328;28754822;29007005;29241447;29461625;29647369;29846153;30077886
Population ages 10-14, female (% of female population);SP.POP.1014.FE.5Y;10.61107242;11.04789392;11.43381203;11.785378;11.9767643;12.02449228;12.08164641;12.15690682;12.2478827;12.34100355;12.40217094;12.41303988;12.38439121;12.31700779;12.21169927;12.10707339;12.04075621;12.00104947;11.97335824;11.95343148;11.91516752;11.74168676;11.51137606;11.324243;11.14579519;11.0198107;10.99735448;11.09954587;11.32217171;11.66221016;11.96915864;12.25575501;12.69536187;13.32310604;13.90997802;14.27904326;14.5188562;14.54670659;14.35566142;14.02518372;13.5923641;13.11920105;12.68414113;12.1778329;11.48106604;10.65372579;9.748115224;8.846442364;8.059796239;7.472055325;7.087660063;6.854599268;6.722369862;6.634878331;6.645908625;6.757086252;6.837565429;6.886450988;6.965738107;7.071132559;7.187899028;7.307206443;7.446296823
Population ages 0-14, total;SP.POP.0014.TO;9200714;9570683;9933253;10294828;10622109;10917578;11221024;11533012;11850095;12174358;12503372;12827768;13140229;13446595;13765706;14113105;14510578;14963038;15464982;16039676;16684844;17415803;18207622;19011854;19836680;20666608;21483217;22265407;22992931;23649317;24291011;24858633;25231826;25337876;25208762;24924972;24481868;23891888;23195548;22450565;21687314;20935731;20158825;19409546;18756266;18163923;17624053;17174040;16863223;16731948;16780185;16958870;17269546;17694813;18364060;19195759;19816361;20259996;20639091;20867335;20943080;20935552;20867571
Population ages 0-14, female;SP.POP.0014.FE.IN;4456885;4629626;4798302;4966928;5121036;5260734;5404222;5552628;5705043;5862792;6023448;6181339;6332822;6480936;6634939;6802618;6995691;7217690;7466560;7754976;8083562;8459172;8868575;9285715;9711587;10138858;10559396;10962858;11338498;11677571;12008205;12300490;12494063;12552323;12491741;12351585;12127745;11827653;11472977;11093372;10704893;10322703;9927980;9547927;9217956;8920061;8649095;8423181;8266141;8197306;8216593;8299837;8447599;8651163;8975681;9381834;9682732;9894417;10074296;10181073;10214005;10207042;10171350
Survival to age 65, male (% of cohort);SP.DYN.TO65.MA.ZS;36.951812;37.666685;36.843876;38.589072;39.329257;39.961241;40.508516;41.317222;40.896652;42.703958;43.401563;44.525464;45.117494;46.413807;47.444405;48.666507;49.790865;50.647622;49.115456;52.783837;50.703004;42.866219;44.410541;45.847457;52.622562;53.462523;54.328598;54.728304;55.612775;62.510381;59.92081;63.423529;63.625068;64.472775;64.682209;65.427426;66.0415;66.87478;68.015392;68.990101;70.037599;70.627203;72.017009;70.902903;73.616232;74.948606;75.140927;76.051182;75.86846;76.3186;75.835764;76.827417;77.94339;78.095206;79.159739;79.398589;80.244832;80.530287;81.063226;80.304891;76.221449;76.438069;null
Life expectancy at birth, total (years);SP.DYN.LE00.IN;43.957;44.55;44.269;45.619;46.196;46.744;47.421;48.034;48.136;49.438;50.204;51.124;51.659;52.946;53.854;54.761;55.7;56.577;55.926;58.55;58.537;56.715;57.734;58.748;61.22;61.893;62.487;62.823;63.446;65.718;64.367;66.459;66.776;67.139;67.468;67.785;68.07;68.359;68.73;69.297;69.691;69.955;70.445;69.823;71.37;71.838;72.276;72.772;72.624;72.698;73.069;73.679;74.186;74.449;74.782;75.124;75.6;75.971;76.195;76.103;74.832;73.875;null
Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;49.046;47.959;47.354;46.611;45.916;45.481;45.123;44.939;44.506;44.164;43.24;42.365;41.134;40.635;40.632;40.796;41.815;42.262;43.061;44.21;44.357;44.063;44.393;43.871;43.119;41.792;40.046;37.926;35.961;34.106;32.46;30.928;28.549;26.089;22.778;20.448;18.593;17.338;16.802;16.56;16.39;16.276;16.069;15.958;16.068;16.199;16.489;16.897;17.264;17.548;17.755;18.164;18.926;19.445;19.824;19.428;19.017;18.608;17.231;15.118;14.231;13.699;null
Net ODA received (% of gross capital formation);DT.ODA.ODAT.GI.ZS;2.568936317;11.64350768;4.91979819;2.883899565;0.298252636;1.08496951;0.488073309;1.245392338;0.234724892;0.435549834;0.469693965;0.15796844;0.129079073;-0.039375135;0.063326667;0.007091919;-0.016682953;0.099119373;0.796483899;0.025834587;0.062347228;0.012017105;-0.0018683;0.075329427;0.014545515;0.026131954;0.056645912;0.263234128;0.385730675;0.328713233;0.258275737;null;null;0.725055805;0.777046044;0.642416809;0.361570782;0.495824825;0.440723673;0.435891853;0.33761164;0.256131268;0.228012451;0.202705547;0.21580303;0.114819194;0.113911306;0.074652381;0.058351358;0.05435741;0.057367152;0.046910794;0.064836187;0.076427922;0.047729138;0.084944183;0.087159767;0.090660252;0.160971514;null;null;null;null
Net official development assistance and official aid received (constant 2020 US$);DT.ODA.ALLD.KD;168690002.4;881070007.3;382190002.4;183669998.2;32209999.08;163899993.9;99110000.61;274239990.2;73480003.36;110919998.2;162889999.4;67209999.08;56159999.85;-15100000.38;39529998.78;5630000.114;-18309999.47;121410003.7;645429992.7;11470000.27;65449996.95;15800000.19;3369999.886;121879997.3;27120000.84;36419998.17;56279998.78;126599998.5;136509994.5;158169998.2;174339996.3;276480011;159050003.1;200009994.5;177169998.2;196240005.5;173389999.4;250830001.8;213169998.2;208240005.5;177539993.3;165710006.7;166410003.7;165429992.7;211800003.1;113599998.5;127169998.2;100000000;88730003.36;85430000.31;104610000.6;97209999.08;140949996.9;120069999.7;69379997.25;121440002.4;126940002.4;147800003.1;166570007.3;210500000;235119995.1;289339996.3;null
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;-2.5948E+14;-3.24319E+14;-3.67528E+14;-4.06176E+14;-4.46246E+14;-5.42281E+14;-6.43134E+14;-7.33995E+14;-8.20801E+14;-1.0291E+15;-1.19337E+15;-1.03121E+15;-1.17689E+15;3.02397E+14;4.91641E+15;4.28974E+15;4.83412E+15;4.36247E+15;2.93229E+15;4.43119E+15;1.21342E+15;1.05604E+15;1.57576E+15;1.40472E+15;1.07483E+15;8.567E+14;1.20316E+14;1.74964E+15;-9.76478E+13;1.16212E+14;3.71737E+14;2.72357E+14;1.59422E+14;2.22486E+15;2.37763E+15;1.4232E+15;1.34952E+15;7.28563E+14;-7.08138E+13;9.48952E+14;8.40947E+14;9.39095E+14;1.83177E+15;1.90024E+15;2.40868E+15;3.67242E+15;3.94822E+15;4.79433E+15;4.48623E+15;3.58291E+15;4.54375E+15;5.28306E+15;2.18959E+15;1.83356E+15;1.21127E+15;-2.77443E+13;0;-8.15674E+12;-5.90516E+14;-1.15533E+15;-1.28811E+15;-8.59572E+14;-8.28989E+14
Taxes less subsidies on products (constant LCU);NY.TAX.NIND.KN;6.07306E+13;6.20092E+13;6.50447E+13;7.3854E+13;7.46989E+13;9.18E+13;1.18721E+14;1.28141E+14;1.51093E+14;1.76938E+14;1.93278E+14;2.0133E+14;2.1657E+14;1.63563E+14;5.27914E+13;8.85659E+13;1.10217E+14;1.57654E+14;1.34297E+14;2.77253E+12;6.88957E+13;4.22819E+13;6.43918E+13;1.21773E+14;1.30094E+14;1.35338E+14;1.21636E+14;1.08592E+14;7.48622E+13;8.77708E+13;8.44093E+13;1.11533E+14;1.25384E+14;-3.31041E+12;-3.85946E+13;-5.23038E+13;-1.12223E+13;1.41605E+13;8.71847E+12;2.42212E+13;3.44407E+13;5.36392E+13;5.54758E+13;7.35388E+13;5.73015E+13;-2.44677E+14;-3.09058E+14;-8.8805E+13;-2.90947E+13;1.54546E+14;1.76621E+14;1.00467E+14;1.70661E+14;1.84158E+14;3.85592E+14;4.29077E+14;4.79195E+14;5.59236E+14;7.27165E+14;6.73184E+14;5.95873E+14;6.72805E+14;6.92159E+14
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;-8033989373;-8582873447;-9716005294;-10873598003;-12338434422;-15448317142;-15593275990;-18599215590;-24935671662;-29798728948;-34325513048;-40056659010;-40266285483;-43955057142;-11054585373;1532870246;-33111083816;-61434375780;-80956976005;57485893334;62799202044;71401638186;36649546409;55489764252;38561040360;7459430793;11639410025;-9609563284;-14918196571;-16007662542;-16009163941;95256162400;39080726100;30900724900;-6.33989E+11;-1.00472E+12;-1.23523E+12;-6.86738E+11;-2.48843E+11;1.13957E+12;1.13385E+12;1.73423E+12;2.87843E+12;2.35775E+12;-2.65581E+12;-3.67358E+12;1.02455E+12;8.8551E+12;1.27842E+13;-1.20726E+12;8.17815E+11;5.11892E+12;5.16016E+13;6.78329E+13;6.30794E+13;9.02261E+12;1.66234E+13;2.04943E+13;1.03142E+14;null;null;null;null
GNI per capita (constant LCU);NY.GNP.PCAP.KN;74914974.93;80520010.9;84464022.1;87727169.79;92415139.54;104874844.2;113800795.5;122867697.6;136295072.9;153083538.2;164958322;182461423.8;203720932.7;213250289.7;221799531.7;215432637.3;245470345.6;230576641.6;193872180.9;169421994;128343627.9;115135353.5;134177789.3;143975400;128789678.7;126363116.8;110189054.6;106315161.1;96828943.99;99838890.54;109061218.6;118524113.2;119440568.4;116903873.6;113908254.7;115059623.5;120829636.4;121017419.5;121801673.3;122657516.4;127637034.3;128559583.1;137686349.2;148042547.5;151408689.5;153686851.1;159316635.7;170310505.8;168516658.8;167187506;174509614;176977673.3;169290140.6;164282002.3;168935436.4;162007667.7;173162488;175425258.5;169843422.5;null;null;null;null
GNI (current US$);NY.GNP.MKTP.CD;4093075120;4313643831;4565302316;4785082165;5216962020;5993381743;6584086837;7309849484;8293989167;9349707038;10523103057;13203002078;16621895138;26443577156;46045623157;51798709664;67585867367;79729688497;76845583368;91207569321;95239665759;1.01392E+11;1.26383E+11;1.57001E+11;1.62696E+11;1.80269E+11;2.09247E+11;1.33944E+11;1.22974E+11;1.20426E+11;1.24761E+11;null;null;63762182226;71515503050;95928399194;1.19854E+11;1.13672E+11;1.10199E+11;1.14122E+11;1.0979E+11;1.27177E+11;1.28989E+11;1.53832E+11;1.89735E+11;2.26042E+11;2.66411E+11;3.50836E+11;4.13692E+11;4.16275E+11;4.86887E+11;6.26598E+11;6.48245E+11;4.95919E+11;4.62753E+11;4.08517E+11;4.58483E+11;4.87226E+11;3.29473E+11;2.84328E+11;2.40408E+11;3.60293E+11;3.89649E+11
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;24304965707;32524380398;41903422436;48370686461;69881617622;1.00996E+11;1.11223E+11;1.22782E+11;1.79748E+11;1.86959E+11;2.0688E+11;2.64855E+11;3.89033E+11;7.13643E+11;1.31792E+12;1.08071E+12;1.95359E+12;2.13453E+12;1.45383E+12;1.77237E+12;1.4383E+12;1.16307E+12;2.08889E+12;2.89244E+12;2.87375E+12;2.70006E+12;2.08663E+12;3.24819E+12;2.16617E+12;4.48732E+12;8.08281E+12;1.46928E+13;2.08588E+13;3.53858E+13;4.78906E+13;7.04923E+13;1.08838E+14;1.14012E+14;1.02622E+14;1.71519E+14;2.34526E+14;2.72492E+14;4.26727E+14;5.55315E+14;7.54436E+14;9.48381E+14;1.1258E+15;1.59435E+15;1.87726E+15;1.82052E+15;2.33024E+15;3.07053E+15;3.06877E+15;4.27308E+15;4.88117E+15;3.75337E+15;4.78101E+15;5.86135E+15;7.71535E+15;9.74793E+15;1.60306E+16;2.84608E+16;4.07953E+16
GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2348.429917;2522.308736;2646.980648;2753.708496;2901.087084;3296.423026;3569.706303;3859.757335;4293.816556;4822.20338;5197.605513;5743.415583;6393.164646;6675.96612;6860.918296;6638.43152;7622.344734;7190.912294;6073.006984;5169.023978;3914.121006;3512.806445;4120.734159;4418.726751;3959.315273;3893.510146;3394.254753;3279.251307;2986.998135;3079.578663;3363.51012;3647.571114;3680.217876;3602.815105;3528.030692;3564.661773;3741.581358;3738.567341;3757.343086;3772.355937;3927.709223;3953.479698;4231.478908;4554.593873;4675.940805;4748.030254;4908.959952;5232.703549;5174.354771;5155.857249;5378.717711;5450.938213;5180.086027;5027.484717;5178.900707;4990.936795;5332.101032;5401.455937;5211.111641;5017.117215;5141.084776;5344.958025;5453.004749
GDP (constant 2015 US$);NY.GDP.MKTP.KD;50230111893;55449481809;59835129891;64048764751;69477043755;81312952501;90665899473;1.00868E+11;1.15398E+11;1.33303E+11;1.4787E+11;1.68131E+11;1.92508E+11;2.06834E+11;2.18833E+11;2.18119E+11;2.57948E+11;2.50794E+11;2.1859E+11;1.92314E+11;1.50775E+11;1.42185E+11;1.75131E+11;1.94548E+11;1.80657E+11;1.84031E+11;1.66024E+11;1.65738E+11;1.55658E+11;1.65203E+11;1.87662E+11;2.11526E+11;2.18502E+11;2.15288E+11;2.11632E+11;2.16713E+11;2.30475E+11;2.33588E+11;2.38446E+11;2.43222E+11;2.57439E+11;2.63598E+11;2.84893E+11;3.09506E+11;3.22928E+11;3.33229E+11;3.4989E+11;3.78426E+11;3.79375E+11;3.83197E+11;4.05415E+11;4.16141E+11;4.00547E+11;3.94451E+11;4.14114E+11;4.08213E+11;4.44197E+11;4.5645E+11;4.46163E+11;4.34303E+11;4.48766E+11;4.69947E+11;4.82867E+11
Gross value added at basic prices (GVA) (current LCU);NY.GDP.FCST.CN;2.99868E+11;3.17579E+11;3.37231E+11;3.52953E+11;3.8677E+11;4.44343E+11;4.82437E+11;5.37882E+11;6.12695E+11;6.91638E+11;7.79975E+11;9.81186E+11;1.23014E+12;1.79557E+12;3.08918E+12;3.4615E+12;4.70313E+12;5.51929E+12;5.33669E+12;6.36602E+12;6.6078E+12;7.92938E+12;1.04514E+13;1.3235E+13;1.44049E+13;1.52574E+13;1.54507E+13;1.88167E+13;2.14017E+13;2.65469E+13;3.71772E+13;5.24421E+13;6.9908E+13;1.0621E+14;1.40939E+14;1.99626E+14;2.71051E+14;3.15729E+14;3.52935E+14;4.72735E+14;6.2409E+14;7.31191E+14;1.01417E+15;1.24397E+15;1.63102E+15;2.06076E+15;2.48686E+15;3.26308E+15;3.89389E+15;4.07318E+15;4.9904E+15;6.86828E+15;7.842E+15;1.05495E+16;1.2005E+16;1.1795E+16;1.39297E+16;1.61873E+16;2.08083E+16;2.64734E+16;3.97915E+16;6.52626E+16;1.00244E+17
Industry (including construction), value added (constant LCU);NV.IND.TOTL.KN;8.54525E+14;9.98615E+14;1.10504E+15;1.19635E+15;1.30471E+15;1.52526E+15;1.70997E+15;1.91738E+15;2.22616E+15;2.63655E+15;2.95962E+15;3.40073E+15;3.84648E+15;4.31331E+15;4.36035E+15;3.96232E+15;4.74709E+15;4.33832E+15;3.43231E+15;2.69318E+15;1.42437E+15;1.39857E+15;2.29223E+15;2.45979E+15;2.07897E+15;2.05959E+15;1.91982E+15;2.09082E+15;2.05207E+15;2.1521E+15;2.55641E+15;2.9845E+15;3.01428E+15;3.08769E+15;2.9856E+15;2.98583E+15;3.18504E+15;3.12818E+15;3.11856E+15;3.13669E+15;3.43237E+15;3.43047E+15;3.71677E+15;4.10118E+15;4.21616E+15;4.33892E+15;4.50547E+15;4.73642E+15;4.87114E+15;4.83074E+15;5.1294E+15;5.22368E+15;4.52306E+15;4.26438E+15;4.43289E+15;4.22376E+15;4.95198E+15;5.06643E+15;4.60341E+15;4.15604E+15;4.48019E+15;4.6239E+15;4.82793E+15
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;1081175285;1231940898;1386712330;1521120087;1689382132;2034402220;2278922791;2658399402;3130465775;3754887601;4454443892;5923190745;7443728852;14528150765;28799046885;29374041384;38956908134;42952865494;35629983297;41357334380;33171733229;34894232151;51057345492;59511146831;55887810750;55055911162;52084912401;33474037806;30527226367;31503881976;40938525678;null;null;26791030664;31157754576;38028151348;50669028284;44099752784;35843915437;42646361331;44171935290;50646523150;58529022509;69187187523;90214516020;1.12405E+11;1.28516E+11;1.68768E+11;1.96556E+11;1.79453E+11;2.15215E+11;2.89476E+11;2.71101E+11;2.10804E+11;1.806E+11;1.31341E+11;1.57388E+11;1.76303E+11;1.21103E+11;94447196559;86641738180;1.36506E+11;1.56268E+11
Manufacturing, value added (constant 2015 US$);NV.IND.MANF.KD;1114991177;1204190472;1401585206;1535384147;1622105683;1812893062;2091227897;2370388651;2704886004;3033601922;3297070207;3828962295;4474831259;5295795133;6158880896;6663517644;8664720327;9095850249;8145217031;7095473485;7968470281;8608557809;8231938567;9211478964;10342988529;10124945810;9481554605;10535427747;10751818627;11133451782;14264668637;17287079503;17129566290;16232624834;16772680726;16770686109;19849730140;22170533903;21503955273;23690940586;26519914075;30149460376;33930964238;37494692669;39031574791;43131546831;46550717103;47470638000;48949569486;52917817280;58473364854;61775618645;59123717571;55878626741;59780167037;54907676228;59286889779;62310771772;58208044489;60515030355;64869285958;66990621806;null
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;-11258231809;-7145952886;2910827366;10719059135;276769802.1;-1527982934;-6779971562;-13520277465;-19815432510;-22303346996;-22747860745;18540410579;18730041971;2.38446E+11;7.29261E+11;1.89028E+11;4.30822E+11;96851340170;68955956722;6.80791E+11;-1.01381E+12;-1.25254E+12;-4.13018E+11;-1.3179E+12;-7.91501E+11;-8.54457E+11;-1.06947E+12;83494298702;-1.53603E+12;-2.25496E+12;-3.99736E+12;-8.89909E+12;-1.011E+13;5.07248E+12;2.09084E+13;1.62006E+13;1.39783E+13;6.03609E+12;-1.36521E+13;1.75676E+13;1.05319E+13;-1.42414E+13;6.70587E+12;-1.79178E+13;-1.27689E+13;1.26283E+14;1.60471E+14;2.53287E+14;1.91465E+14;7.0788E+13;2.53234E+14;5.96312E+14;6.80018E+13;3.48732E+14;3.79804E+13;-2.39768E+14;2.78894E+14;1.21591E+14;4.41076E+14;-1.03617E+15;-2.02364E+15;8.7116E+14;1.93287E+15
Taxes less subsidies on products (current LCU);NY.TAX.NIND.CN;18215967302;17762833787;18306594005;20391008174;20753514986;25103596730;31900599455;34438147139;40510136240;46400871935;51475967302;58997983651;69238801090;69873188011;35706920981;67879400545;97151825613;1.69381E+11;1.59956E+11;4350081744;1.46181E+11;1.13283E+11;1.85241E+11;4.04376E+11;5.08688E+11;5.50648E+11;5.55451E+11;6.02668E+11;4.989E+11;6.853E+11;8.093E+11;1.3433E+12;1.9532E+12;-77300000000;-1.207E+12;-2.2563E+12;-6.237E+11;9.092E+11;6.123E+11;2.24043E+12;3.9799E+12;7.11614E+12;9.44113E+12;1.41592E+13;6.01232E+12;-3.08497E+13;-4.46495E+13;-1.57726E+13;-6.17113E+12;3.42874E+13;4.54085E+13;2.77156E+13;5.36735E+13;8.55384E+13;2.49709E+14;3.08855E+14;4.79195E+14;5.49114E+14;7.01305E+14;8.90592E+14;9.99864E+14;1.5119E+15;3.83168E+14
Net primary income (Net income from abroad) (current US$);NY.GSR.NFCY.CD;-106059265.5;-113305259.9;-128264096.2;-143545848.1;-162883622.6;-203938179.9;-205851828;-245534199;-329183784;-393382560;-453142086;-528800830.8;-531568125.2;-638121093.2;-163468914.9;22487314.01;-469427714.1;-870434205.4;-1148733253;815691994.8;877390178.8;892219353.3;433968957.6;636146240.3;419588696.2;85024230.25;152049771.7;-66314010.66;-83824220.77;-70830365.23;-52601681.44;null;null;18558993.93;-325958122.6;-490826549.2;-549969353.3;-247072473.5;-77617804.12;273147408.4;197844901.4;298028226.5;361702272.6;287745101.1;-308313292.2;-409816916.9;111716517.2;954095428.1;1355902193;-122387163.2;79057458.79;464780002.6;4209044638;3143054115;2369754582;304294232.2;528338183.5;595895341.4;1572336564;null;null;null;null
